,#00,#01,#02,#03,#04,#05,#06,#07,#08,#09,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19
0002391986.txt,1.6900456312404404e-05,0.9996788913300644,1.6900456312404404e-05,1.6900456312404404e-05,1.6900456312404404e-05,1.6900456312404404e-05,1.6900456312404404e-05,1.6900456312404404e-05,1.6900456312404404e-05,1.6900456312404404e-05,1.6900456312404404e-05,1.6900456312404404e-05,1.6900456312404404e-05,1.6900456312404404e-05,1.6900456312404404e-05,1.6900456312404404e-05,1.6900456312404404e-05,1.6900456312404404e-05,1.6900456312404404e-05,1.6900456312404404e-05
0002392257.txt,2.5207965717410185e-05,0.9995210486513694,2.5207965717410185e-05,2.5207965717410185e-05,2.5207965717410185e-05,2.5207965717410185e-05,2.5207965717410185e-05,2.5207965717410185e-05,2.5207965717410185e-05,2.5207965717410185e-05,2.5207965717410185e-05,2.5207965717410185e-05,2.5207965717410185e-05,2.5207965717410185e-05,2.5207965717410185e-05,2.5207965717410185e-05,2.5207965717410185e-05,2.5207965717410185e-05,2.5207965717410185e-05,2.5207965717410185e-05
0002392243.txt,1.9912385503901105e-05,0.999621664675426,1.9912385503901105e-05,1.9912385503901105e-05,1.9912385503901105e-05,1.9912385503901105e-05,1.9912385503901105e-05,1.9912385503901105e-05,1.9912385503901105e-05,1.9912385503901105e-05,1.9912385503901105e-05,1.9912385503901105e-05,1.9912385503901105e-05,1.9912385503901105e-05,1.9912385503901105e-05,1.9912385503901105e-05,1.9912385503901105e-05,1.9912385503901105e-05,1.9912385503901105e-05,1.9912385503901105e-05
0002391992.txt,9.242144177464794e-05,0.4250490406711249,9.242144177464794e-05,9.242144177464794e-05,9.242144177464794e-05,9.242144177464794e-05,9.242144177464794e-05,0.04183270719544479,9.242144177464794e-05,9.242144177464794e-05,0.5315470876232612,9.242144177464794e-05,9.242144177464794e-05,9.242144177464794e-05,9.242144177464794e-05,9.242144177464794e-05,9.242144177464794e-05,9.242144177464794e-05,9.242144177464794e-05,9.242144177464794e-05
0002391945.txt,2.4142926122927767e-05,0.9757857126112263,0.02377971471856126,2.4142926122927767e-05,2.4142926122927767e-05,2.4142926122927767e-05,2.4142926122927767e-05,2.4142926122927767e-05,2.4142926122927767e-05,2.4142926122927767e-05,2.4142926122927767e-05,2.4142926122927767e-05,2.4142926122927767e-05,2.4142926122927767e-05,2.4142926122927767e-05,2.4142926122927767e-05,2.4142926122927767e-05,2.4142926122927767e-05,2.4142926122927767e-05,2.4142926122927767e-05
0002391951.txt,3.821169277829933e-05,0.9992739778372125,3.821169277829933e-05,3.821169277829933e-05,3.821169277829933e-05,3.821169277829933e-05,3.821169277829933e-05,3.8211692778299385e-05,3.821169277829933e-05,3.821169277829933e-05,3.821169277829933e-05,3.821169277829933e-05,3.821169277829933e-05,3.821169277829933e-05,3.821169277829933e-05,3.821169277829933e-05,3.821169277829933e-05,3.821169277829933e-05,3.821169277829933e-05,3.821169277829933e-05
0002391979.txt,3.325573661476975e-05,0.9993681410043196,3.325573661476975e-05,3.325573661476975e-05,3.325573661476975e-05,3.325573661476975e-05,3.325573661476975e-05,3.325573661476975e-05,3.325573661476975e-05,3.325573661476975e-05,3.325573661476975e-05,3.325573661476975e-05,3.325573661476975e-05,3.325573661476975e-05,3.325573661476975e-05,3.325573661476975e-05,3.325573661476975e-05,3.325573661476975e-05,3.325573661476975e-05,3.325573661476975e-05
0002391947.txt,5.47345374932444e-05,0.17950043876439756,5.47345374932444e-05,5.47345374932444e-05,5.47345374932444e-05,5.47345374932444e-05,5.47345374932444e-05,0.8195143395607243,5.47345374932444e-05,5.47345374932444e-05,5.47345374932444e-05,5.47345374932444e-05,5.47345374932444e-05,5.47345374932444e-05,5.47345374932444e-05,5.47345374932444e-05,5.47345374932444e-05,5.47345374932444e-05,5.47345374932444e-05,5.47345374932444e-05
0002391953.txt,4.2607584150288336e-05,0.9991904559011446,4.2607584150288336e-05,4.2607584150288336e-05,4.2607584150288336e-05,4.2607584150288336e-05,4.2607584150288336e-05,4.260758415028904e-05,4.2607584150288336e-05,4.2607584150288336e-05,4.2607584150288336e-05,4.2607584150288336e-05,4.2607584150288336e-05,4.2607584150288336e-05,4.2607584150288336e-05,4.2607584150288336e-05,4.2607584150288336e-05,4.2607584150288336e-05,4.2607584150288336e-05,4.2607584150288336e-05
0002392269.txt,4.909180166923051e-05,0.17364757130050054,4.909180166923051e-05,4.909180166923051e-05,4.909180166923051e-05,4.909180166923051e-05,4.909180166923051e-05,0.8254687762694536,4.909180166923051e-05,4.909180166923051e-05,4.909180166923051e-05,4.909180166923051e-05,4.909180166923051e-05,4.909180166923051e-05,4.909180166923051e-05,4.909180166923051e-05,4.909180166923051e-05,4.909180166923051e-05,4.909180166923051e-05,4.909180166923051e-05
